date,country,abbreviation_canton,name_canton,number_canton,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-25,CH,AG,Aargau,01,47.40966,8.15688,,,,,319.0,53.0,,2.0,,
2020-03-25,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,,,,,9.0,1.0,,,,
2020-03-25,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,,,,,34.0,1.0,,2.0,,
2020-03-25,CH,BE,Bern/Berne,02,46.823608,7.636667,,,,,624.0,92.0,,6.0,,
2020-03-25,CH,BL,Basel-Landschaft,13,47.45176,7.702414,,,,,341.0,35.0,,5.0,,
2020-03-25,CH,BS,Basel-Stadt,12,47.564869,7.615259,,,,,466.0,52.0,,8.0,,
2020-03-25,CH,FR,Fribourg,10,46.718391,7.074008,,,,,293.0,38.0,,6.0,,
2020-03-25,CH,GE,Genève,25,46.220528,6.132935,,,,,1708.0,110.0,,15.0,,
2020-03-25,CH,GL,Glarus,08,46.931042000000005,9.065751,,,,,40.0,7.0,,,,
2020-03-25,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,,,,,322.0,46.0,,6.0,,
2020-03-25,CH,JU,Jura,26,47.350744,7.156107,,,,,78.0,12.0,,,,
2020-03-25,CH,LU,Luzern,03,47.067763,8.1102,,,,,228.0,23.0,,2.0,,
2020-03-25,CH,NE,Neuchâtel,24,46.995534,6.780126,,,,,256.0,26.0,,2.0,,
2020-03-25,CH,NW,Nidwalden,07,46.926755,8.405302,,,,,44.0,2.0,,,,
2020-03-25,CH,OW,Obwalden,06,46.804527,8.144317000000001,,,,,27.0,2.0,,,,
2020-03-25,CH,SG,St. Gallen,17,47.1832,9.274744,,,,,228.0,25.0,,1.0,,
2020-03-25,CH,SH,Schaffhausen,14,47.71357,8.59167,,,,,34.0,2.0,,,,
2020-03-25,CH,SO,Solothurn,11,47.304135,7.639388,,,,,141.0,12.0,,1.0,,
2020-03-25,CH,SZ,Schwyz,05,47.061787,8.756585,,,,,99.0,19.0,,,,
2020-03-25,CH,TG,Thurgau,01,47.568715,9.091957,,,,,96.0,9.0,,1.0,,
2020-03-25,CH,TI,Ticino,21,46.295617,8.808924,,,,,1354.0,143.0,,60.0,,
2020-03-25,CH,UR,Uri,04,46.771849,8.628586,,,,,31.0,6.0,,,,
2020-03-25,CH,VD,Vaud,22,46.570091,6.557809000000001,,,,,2215.0,47.0,,21.0,,
2020-03-25,CH,VS,Valais/Wallis,23,46.209567,7.604659,,,,,651.0,107.0,,14.0,,
2020-03-25,CH,ZG,Zug,09,47.157296,8.537294,,,,,80.0,8.0,,,,
2020-03-25,CH,ZH,Zürich,01,47.41275,8.65508,,,,,1363.0,152.0,,7.0,,
