date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-06,CH,0,0,0,0,208,208,0,0,0,0
2020-03-07,CH,0,0,0,0,263,55,0,0,0,0
2020-03-08,CH,0,0,0,0,328,65,0,0,0,0
2020-03-09,CH,0,0,0,0,376,48,0,1,0,0
2020-03-10,CH,0,0,0,0,505,129,0,2,0,0
2020-03-11,CH,0,0,0,0,640,135,0,2,0,0
2020-03-12,CH,0,0,0,0,880,240,0,2,0,0
2020-03-13,CH,0,0,0,0,1205,325,0,5,0,0
2020-03-14,CH,0,0,0,0,1607,402,0,11,0,0
2020-03-15,CH,0,0,0,0,1184,-423,0,17,0,0
2020-03-16,CH,0,0,0,0,2164,980,0,24,0,0
2020-03-17,CH,0,0,0,0,2650,486,0,16,0,0
2020-03-18,CH,0,0,0,0,3815,1165,0,31,0,0
2020-03-19,CH,0,0,0,0,5118,1303,0,39,0,0
2020-03-20,CH,0,0,0,0,6427,1309,0,37,0,0
2020-03-21,CH,0,0,0,0,6564,137,0,85,0,0
2020-03-22,CH,0,0,0,0,7694,1130,0,98,0,0
2020-03-23,CH,0,0,0,0,9055,1361,0,120,0,0
2020-03-24,CH,0,0,0,0,10051,996,0,141,0,0
2020-03-25,CH,0,0,0,0,11081,1030,0,159,0,0
2020-03-26,CH,0,0,0,0,9369,-1712,0,194,0,0
2020-03-27,CH,0,0,0,0,1751,-7618,0,196,0,0
