date,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_positive_cases,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,deaths
2020-03-27,CH,AG,Aargau,01,47.40966,8.15688,0,349,349,0,0,0,0,0,0,0
2020-03-27,CH,AI,Appenzell Innerrhoden,16,47.317264,9.416754,0,11,11,0,0,0,0,0,0,0
2020-03-27,CH,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,0,43,43,0,0,0,0,0,0,0
2020-03-27,CH,BE,Bern/Berne,02,46.823608,7.636667,0,660,660,0,0,0,0,0,0,0
2020-03-27,CH,BL,Basel-Landschaft,13,47.45176,7.702414,0,422,422,0,0,0,0,0,0,0
2020-03-27,CH,BS,Basel-Stadt,12,47.564869,7.615259,0,505,505,0,0,0,0,0,0,0
2020-03-27,CH,FR,Fribourg,10,46.718391,7.074008,0,309,309,0,0,0,0,0,0,0
2020-03-27,CH,GE,Genève,25,46.220528,6.132935,0,1743,1743,0,0,0,0,0,0,0
2020-03-27,CH,GL,Glarus,08,46.931042000000005,9.065751,0,43,43,0,0,0,0,0,0,0
2020-03-27,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,0,373,373,0,0,0,0,0,0,0
2020-03-27,CH,JU,Jura,26,47.350744,7.156107,0,99,99,0,0,0,0,0,0,0
2020-03-27,CH,LU,Luzern,03,47.067763,8.1102,0,253,253,0,0,0,0,0,0,0
2020-03-27,CH,NE,Neuchâtel,24,46.995534,6.780126,0,271,271,0,0,0,0,0,0,0
2020-03-27,CH,NW,Nidwalden,07,46.926755,8.405302,0,48,48,0,0,0,0,0,0,0
2020-03-27,CH,OW,Obwalden,06,46.804527,8.144317000000001,0,27,27,0,0,0,0,0,0,0
2020-03-27,CH,SG,St. Gallen,17,47.1832,9.274744,0,280,280,0,0,0,0,0,0,0
2020-03-27,CH,SH,Schaffhausen,14,47.71357,8.59167,0,36,36,0,0,0,0,0,0,0
2020-03-27,CH,SO,Solothurn,11,47.304135,7.639388,0,141,141,0,0,0,0,0,0,0
2020-03-27,CH,SZ,Schwyz,05,47.061787,8.756585,0,99,99,0,0,0,0,0,0,0
2020-03-27,CH,TG,Thurgau,01,47.568715,9.091957,0,110,110,0,0,0,0,0,0,0
2020-03-27,CH,TI,Ticino,21,46.295617,8.808924,0,1401,1401,0,0,0,0,0,0,0
2020-03-27,CH,UR,Uri,04,46.771849,8.628586,0,38,38,0,0,0,0,0,0,0
2020-03-27,CH,VD,Vaud,22,46.570091,6.557809000000001,0,2215,2215,0,0,0,0,0,0,0
2020-03-27,CH,VS,Valais/Wallis,23,46.209567,7.604659,0,715,715,0,0,0,0,0,0,0
2020-03-27,CH,ZG,Zug,09,47.157296,8.537294,0,94,94,0,0,0,0,0,0,0
2020-03-27,CH,ZH,Zürich,01,47.41275,8.65508,0,1578,1578,0,0,0,0,0,0,0
