date,country,tests_performed,total_currently_positive,total_positive,new_positive,home_confinment,total_hospitalized,hospitalized_with_symptoms,intensive_care,recovered,deaths
2020-03-06,CH,0,208,208,,0,0,0,0,0,0
2020-03-07,CH,0,263,263,55,0,0,0,0,0,0
2020-03-08,CH,0,328,328,65,0,0,0,0,0,0
2020-03-09,CH,0,376,376,48,0,0,0,0,0,1
2020-03-10,CH,0,505,505,129,0,0,0,0,0,2
2020-03-11,CH,0,640,640,135,0,0,0,0,0,2
2020-03-12,CH,0,880,880,240,0,0,0,0,0,2
2020-03-13,CH,0,1205,1205,325,0,0,0,0,0,5
2020-03-14,CH,0,1607,1607,402,0,0,0,0,0,11
2020-03-15,CH,0,2155,2155,548,0,0,0,0,0,17
2020-03-16,CH,0,2327,2327,172,0,0,0,0,0,24
2020-03-17,CH,0,2650,2650,323,0,0,0,0,0,26
2020-03-18,CH,0,3815,3815,1165,0,0,0,0,0,33
2020-03-19,CH,0,5118,5118,1303,0,0,0,0,0,40
2020-03-20,CH,0,6427,6427,1309,0,0,0,0,0,52
2020-03-21,CH,0,7385,7385,958,0,0,0,0,0,85
2020-03-22,CH,0,8160,8160,775,0,0,0,0,0,98
2020-03-23,CH,0,9055,9055,895,0,0,0,0,0,120
2020-03-24,CH,0,10051,10051,996,0,0,0,0,0,141
2020-03-25,CH,0,11081,11081,1030,0,0,0,0,0,159
2020-03-26,CH,0,11761,11761,680,0,0,0,0,0,194
2020-03-27,CH,0,11872,11872,111,0,0,0,0,0,196
